pruid,prename,report_date,numtotal_all_administered,as_of_date,updated,numdelta_all_administered,numavglast7_all_administered
1,Canada,1/12/2021,267078,1/12/2021,1,,
35,Ontario,1/12/2021,122105,1/11/2021,1,,
59,British Columbia,1/12/2021,59902,1/12/2021,1,,
48,Alberta,1/12/2021,46791,1/11/2021,1,,
47,Saskatchewan,1/12/2021,8948,1/12/2021,1,,
12,Nova Scotia,1/12/2021,2720,1/5/2021,1,,
46,Manitoba,1/12/2021,10353,1/11/2021,1,,
13,New Brunswick,1/12/2021,7732,1/11/2021,1,,
10,Newfoundland and Labrador,1/12/2021,3760,1/6/2021,1,,
11,Prince Edward Island,1/12/2021,4226,1/11/2021,1,,
61,Northwest Territories,1/12/2021,512,1/9/2021,1,,
62,Nunavut,1/12/2021,29,1/9/2021,1,,
1,Canada,1/13/2021,288488,1/13/2021,1,21410,
35,Ontario,1/13/2021,133553,1/12/2021,1,11448,
59,British Columbia,1/13/2021,62294,1/13/2021,1,2392,
48,Alberta,1/13/2021,52318,1/12/2021,1,5527,
47,Saskatchewan,1/13/2021,9880,1/13/2021,1,932,
12,Nova Scotia,1/13/2021,3831,1/9/2021,1,1111,
46,Manitoba,1/13/2021,10353,1/11/2021,0,,
13,New Brunswick,1/13/2021,7732,1/11/2021,0,,
10,Newfoundland and Labrador,1/13/2021,3760,1/6/2021,0,,
11,Prince Edward Island,1/13/2021,4226,1/11/2021,0,,
61,Northwest Territories,1/13/2021,512,1/9/2021,0,,
62,Nunavut,1/13/2021,29,1/9/2021,0,,
1,Canada,1/14/2021,310788,1/14/2021,1,22300,
35,Ontario,1/14/2021,144784,1/13/2021,1,11231,
59,British Columbia,1/14/2021,63430,1/14/2021,1,1136,
48,Alberta,1/14/2021,58144,1/13/2021,1,5826,
47,Saskatchewan,1/14/2021,10400,1/14/2021,1,520,
12,Nova Scotia,1/14/2021,3831,1/9/2021,0,,
46,Manitoba,1/14/2021,12409,1/12/2021,1,2056,
13,New Brunswick,1/14/2021,7732,1/11/2021,0,,
10,Newfoundland and Labrador,1/14/2021,5291,1/13/2021,1,1531,
11,Prince Edward Island,1/14/2021,4226,1/11/2021,0,,
61,Northwest Territories,1/14/2021,512,1/9/2021,0,,
62,Nunavut,1/14/2021,29,1/9/2021,0,,
1,Canada,1/15/2021,341735,1/15/2021,1,30947,
35,Ontario,1/15/2021,159021,1/14/2021,1,14237,
59,British Columbia,1/15/2021,69746,1/15/2021,1,6316,
48,Alberta,1/15/2021,66953,1/14/2021,1,8809,
47,Saskatchewan,1/15/2021,11985,1/15/2021,1,1585,
12,Nova Scotia,1/15/2021,3831,1/9/2021,0,,
46,Manitoba,1/15/2021,12409,1/12/2021,0,,
13,New Brunswick,1/15/2021,7732,1/11/2021,0,,
10,Newfoundland and Labrador,1/15/2021,5291,1/13/2021,0,,
11,Prince Edward Island,1/15/2021,4226,1/11/2021,0,,
61,Northwest Territories,1/15/2021,512,1/9/2021,0,,
62,Nunavut,1/15/2021,29,1/9/2021,0,,
1,Canada,1/18/2021,424022,1/18/2021,1,82287,
35,Ontario,1/18/2021,200097,1/17/2021,1,41076,
59,British Columbia,1/18/2021,75914,1/18/2021,1,6168,
48,Alberta,1/18/2021,85935,1/17/2021,1,18982,
47,Saskatchewan,1/18/2021,20159,1/18/2021,1,8174,
12,Nova Scotia,1/18/2021,7600,1/16/2021,1,3769,
46,Manitoba,1/18/2021,13539,1/17/2021,1,1130,
13,New Brunswick,1/18/2021,7732,1/11/2021,0,,
10,Newfoundland and Labrador,1/18/2021,5291,1/13/2021,0,,
11,Prince Edward Island,1/18/2021,5102,1/13/2021,1,876,
61,Northwest Territories,1/18/2021,512,1/9/2021,0,,
62,Nunavut,1/18/2021,2141,1/16/2021,1,2112,
1,Canada,1/19/2021,459780,1/19/2021,1,35758,
35,Ontario,1/19/2021,209788,1/18/2021,1,9691,
59,British Columbia,1/19/2021,87346,1/19/2021,1,11432,
48,Alberta,1/19/2021,89814,1/18/2021,1,3879,
47,Saskatchewan,1/19/2021,22618,1/19/2021,1,2459,
12,Nova Scotia,1/19/2021,7600,1/16/2021,0,,
46,Manitoba,1/19/2021,17751,1/18/2021,1,4212,
13,New Brunswick,1/19/2021,10436,1/18/2021,1,2704,
10,Newfoundland and Labrador,1/19/2021,5291,1/13/2021,0,,
11,Prince Edward Island,1/19/2021,5102,1/13/2021,0,,
61,Northwest Territories,1/19/2021,1893,1/16/2021,1,1381,
62,Nunavut,1/19/2021,2141,1/16/2021,0,,
1,Canada,1/20/2021,485335,1/20/2021,1,25555,
35,Ontario,1/20/2021,224134,1/19/2021,1,14346,
59,British Columbia,1/20/2021,92369,1/20/2021,1,5023,
48,Alberta,1/20/2021,92315,1/19/2021,1,2501,
47,Saskatchewan,1/20/2021,24575,1/20/2021,1,1957,
12,Nova Scotia,1/20/2021,8520,1/19/2021,1,920,
46,Manitoba,1/20/2021,17751,1/18/2021,0,,
13,New Brunswick,1/20/2021,10436,1/18/2021,0,,
